Team1,Team2,Score
Villanova-2015,North Carolina State-2015,0.454545455
Northern Iowa-2015,Louisville-2015,0.303030303
Dayton-2015,Oklahoma-2015,0.409090909
Michigan State-2015,Virginia-2015,0.553571429
North Carolina State-2015,Louisville-2015,0.348484848
Oklahoma-2015,Michigan State-2015,0.439393939
Louisville-2015,Michigan State-2015,0.409090909
Duke-2015,Robert Morris-2015,0.758928571
San Diego State-2015,St. John's-2015,0.607142857
Utah-2015,Stephen F. Austin-2015,0.5625
Georgetown-2015,Eastern Washington-2015,0.589285714
Southern Methodist-2015,UCLA-2015,0.484848485
Iowa State-2015,UAB-2015,0.484848485
Iowa-2015,Davidson-2015,0.776785714
Gonzaga-2015,North Dakota State-2015,0.589285714
Duke-2015,San Diego State-2015,0.669642857
Utah-2015,Georgetown-2015,0.598214286
UCLA-2015,UAB-2015,0.651785714
Iowa-2015,Gonzaga-2015,0.212121212
Duke-2015,Utah-2015,0.553571429
UCLA-2015,Gonzaga-2015,0.318181818
Duke-2015,Gonzaga-2015,0.625
Kentucky-2015,Wisconsin-2015,0.393939394
Michigan State-2015,Duke-2015,0.196969697
Wisconsin-2015,Duke-2015,0.424242424
Vanderbilt-2016,Wichita State-2016,0.196969697
Florida Gulf Coast-2016,Fairleigh Dickinson-2016,0.776785714
Michigan-2016,Tulsa-2016,0.544642857
Holy Cross-2016,Southern-2016,0.535714286
Kansas-2016,Austin Peay-2016,0.732142857
Colorado-2016,UConn-2016,0.393939394
Maryland-2016,South Dakota State-2016,0.544642857
California-2016,Hawaii-2016,0.333333333
Arizona-2016,Wichita State-2016,0.348484848
Miami (FL)-2016,Buffalo-2016,0.5625
Iowa-2016,Temple-2016,0.517857143
Villanova-2016,UNC Asheville-2016,0.767857143
Kansas-2016,UConn-2016,0.607142857
Maryland-2016,Hawaii-2016,0.616071429
Wichita State-2016,Miami (FL)-2016,0.378787879
Iowa-2016,Villanova-2016,0.212121212
Kansas-2016,Maryland-2016,0.642857143
Miami (FL)-2016,Villanova-2016,0.151515152
Kansas-2016,Villanova-2016,0.424242424
Oregon-2016,Holy Cross-2016,0.848214286
Saint Joseph's-2016,Cincinnati-2016,0.517857143
Baylor-2016,Yale-2016,0.439393939
Duke-2016,UNC Wilmington-2016,0.571428571
Texas-2016,Northern Iowa-2016,0.454545455
Texas A&M-2016,Green Bay-2016,0.741071429
Oregon State-2016,VCU-2016,0.378787879
Oklahoma-2016,Cal State Bakersfield-2016,0.625
Oregon-2016,Saint Joseph's-2016,0.544642857
Yale-2016,Duke-2016,0.393939394
Northern Iowa-2016,Texas A&M-2016,0.439393939
VCU-2016,Oklahoma-2016,0.439393939
Oregon-2016,Duke-2016,0.625
Texas A&M-2016,Oklahoma-2016,0.287878788
Oregon-2016,Oklahoma-2016,0.318181818
North Carolina-2016,Florida Gulf Coast-2016,0.642857143
USC-2016,Providence-2016,0.484848485
Indiana-2016,Chattanooga-2016,0.723214286
Kentucky-2016,Stony Brook-2016,0.75
Notre Dame-2016,Michigan-2016,0.5625
West Virginia-2016,Stephen F. Austin-2016,0.287878788
Wisconsin-2016,Pittsburgh-2016,0.535714286
Xavier-2016,Weber State-2016,0.660714286
North Carolina-2016,Providence-2016,0.669642857
Indiana-2016,Kentucky-2016,0.553571429
Notre Dame-2016,Stephen F. Austin-2016,0.508928571
Wisconsin-2016,Xavier-2016,0.526785714
North Carolina-2016,Indiana-2016,0.633928571
Notre Dame-2016,Wisconsin-2016,0.544642857
North Carolina-2016,Notre Dame-2016,0.625
Virginia-2016,Hampton-2016,0.821428571
Texas Tech-2016,Butler-2016,0.348484848
Purdue-2016,Little Rock-2016,0.46969697
Iowa State-2016,Iona-2016,0.616071429
Seton Hall-2016,Gonzaga-2016,0.257575758
Utah-2016,Fresno State-2016,0.598214286
Dayton-2016,Syracuse-2016,0.212121212
Michigan State-2016,Middle Tennessee-2016,0.363636364
Virginia-2016,Butler-2016,0.571428571
Little Rock-2016,Iowa State-2016,0.242424242
Gonzaga-2016,Utah-2016,0.705357143
Syracuse-2016,Middle Tennessee-2016,0.723214286
Virginia-2016,Iowa State-2016,0.616071429
Gonzaga-2016,Syracuse-2016,0.454545455
Virginia-2016,Syracuse-2016,0.409090909
Villanova-2016,Oklahoma-2016,0.892857143
North Carolina-2016,Syracuse-2016,0.651785714
Villanova-2016,North Carolina-2016,0.526785714
Villanova-2017,Mount St. Mary's-2017,0.678571429
Wisconsin-2017,Virginia Tech-2017,0.589285714
