Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Louisville-2013,0,0.541019956,0.716548698,0.396471681,0.776414917,0.493153629,0.420686642,0.476848869,0.850467843,0.411043172,0.50088643,0.126813382,0.284276425,0.770783004,N/A,N/A,N/A,0.438897919,N/A
Colorado St-2013,0.466666667,0.678112965,0.5317145,0.383876535,0.892302743,0.505901625,0.836970771,0.14699032,0.167446405,0.421936035,0.51517656,0.566903218,0.547689209,0.656956089,N/A,N/A,N/A,0.316458396,N/A
Missouri-2013,0.533333333,0.623176567,0.560160833,0.586059833,0.814120352,0.637343032,0.630997073,0.466825256,0.377718651,0.425845341,0.356716992,0.492936221,0.40245813,0.58746625,N/A,N/A,N/A,0.324188554,N/A
Oklahoma St-2013,0.266666667,0.466798926,0.56257272,0.391509162,0.51907893,0.653209097,0.529884933,0.516427771,0.456244395,0.28314761,0.500596211,0.300304631,0.319799321,0.668466676,N/A,N/A,N/A,0.414633608,N/A
Oregon-2013,0.733333333,0.415509394,0.484899343,0.415251614,0.680075203,0.478313404,0.671549995,0.444807239,0.579110337,0.331273525,0.299190541,0.305265664,0.430626531,0.633224385,N/A,N/A,N/A,0.521112672,N/A
Saint Louis-2013,0.2,0.470416618,0.563581713,0.472609099,0.390412612,0.488896187,0.616727669,0.375335199,0.454620057,0.38457494,0.544072277,0.272515257,0.417745285,0.715787978,N/A,N/A,N/A,0.358293923,N/A
N Mex State-2013,0.8,0.38029525,0.382791063,0.402221068,0.718598354,0.328277115,0.518815221,0.62458436,0.216590244,0.176652409,0.311916013,0.481140831,0.389104405,0.526360665,N/A,N/A,N/A,0.71072587,N/A
Memphis-2013,0.333333333,0.48462481,0.566023901,0.566508768,0.687297247,0.344504049,0.534597548,0.71763935,0.616884655,0.381438835,0.483088435,0.327200466,0.373419374,0.816683246,N/A,N/A,N/A,0.636064754,N/A
Michigan St-2013,0.133333333,0.438295017,0.506638447,0.459568062,0.624101853,0.479233823,0.609943007,0.411983143,0.611630937,0.291460454,0.465952896,0.331575007,0.316535492,0.656956089,N/A,N/A,N/A,0.580718,N/A
Valparaiso-2013,0.866666667,0.556686895,0.515199435,0.742804085,0.498059599,0.606296148,0.635028403,0.34202261,0.34028612,0.267184402,0.551807244,0.463894514,0.420922078,0.679124627,N/A,N/A,N/A,0.712174815,N/A
Creighton-2013,0.4,0.758460731,0.626478644,0.912584129,0.443728384,0.676333086,0.706173385,0.204748035,0.191799631,0.532608998,0.436495669,0.506715334,0.418503736,0.69859315,N/A,N/A,N/A,0.476482227,N/A
